,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
68,https://www.acnc.gov.au/charity/charities/6d54387a-39af-e811-a963-000d3ad24077/profile,Anglican Parish Of Emmaville,Armidale,NSW,Registered,Small,85405899490,,,
69,https://www.acnc.gov.au/charity/charities/2349387a-39af-e811-a963-000d3ad24077/profile,Helping People Mission Incorporated,Merrylands,NSW,Registered,Small,72542216233,,,
70,https://www.acnc.gov.au/charity/charities/46652e80-39af-e811-a963-000d3ad24077/profile,Trustee Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For Rosary Primary Watson Parents & Friends Association,Forrest,ACT,Registered,Small,12678066895,,,
71,https://www.acnc.gov.au/charity/charities/bd67dc73-39af-e811-a963-000d3ad24077/profile,Uca - Glamorgan Uniting Church,Swansea,TAS,Registered,Small,48049926766,,,
72,https://www.acnc.gov.au/charity/charities/854f387a-39af-e811-a963-000d3ad24077/profile,Newlife Church Incorporated,Lewisham,NSW,Registered,Small,58145411750,,,
73,https://www.acnc.gov.au/charity/charities/e3612e80-39af-e811-a963-000d3ad24077/profile,Holy Name Catholic Church Preston East,Reservoir,VIC,Registered,Small,53180854217,,,
74,https://www.acnc.gov.au/charity/charities/c34b387a-39af-e811-a963-000d3ad24077/profile,Geurie Public School P&C Association,Unavailable,Unavailable,Registered,Small,19091162877,,,
75,https://www.acnc.gov.au/charity/charities/5ef0e56d-39af-e811-a963-000d3ad24077/profile,Vietnam Legion Veterans Association Capricorn Coast Incorporated,Yeppoon,QLD,Registered,Small,12391251873,,,
76,https://www.acnc.gov.au/charity/charities/7b68dc73-39af-e811-a963-000d3ad24077/profile,Wee Jasper P&C Assoc,Wee Jasper,NSW,Registered,Small,37226343329,,,
77,https://www.acnc.gov.au/charity/charities/9e642e80-39af-e811-a963-000d3ad24077/profile,Cumnock Show Society Incorporated,Unavailable,Unavailable,Registered,Small,12674692727,,,
78,https://www.acnc.gov.au/charity/charities/72682e80-39af-e811-a963-000d3ad24077/profile,Bourke Street Public School P&C Association,Surry Hills,NSW,Registered,Small,31358910527,,,
